id,text
1,"@AmazonHelp i bookd a fostelo women's handbag on 4july bt still it is not delvrd 
expctd date ws 13july http://t.co/1IEAVE9esC"
2,The sound quality of The Deer Hunter on Amazon Prime on the Xbox is the worst thing I've ever heard. @AmazonHelp @XboxSupport
3,@AmazonHelp My grandfather received a call from 206-508-4014 claiming to be from Amazon.  Is this actually from Amazon or a scam?
4,@AmazonHelp Quite disappointed in the shipment I received today. Makes me re-think about ordering discreet items! https://t.co/2EyMA7bkau
5,Very unhappy with @115830 @AmazonHelp item I ordered sold by Amazon dropped 15~ % 1/2 days after ordering and won't honour price drop
6,"@AmazonHelp Hi, I'm having problems signing up for Amazon Music. When I enter my details, it comes up saying 'session expired'. Any help?"
7,"@115850 @AmazonHelp, why is the convenient chat support not available in the Amazon Android app? :-/"
8,@AmazonHelp --hi i want to lease out my place to amazon for PUDO pls suggest the concerned person
9,"@AmazonHelp Just lost $20 due to 3 bad customer support representatives. 😤 ""Nothing we can do"""
10,"@AmazonHelp 2nd try for a response, this morning. https://t.co/JPwx1RVVmu"
11,@AmazonHelp my Amazon affiliate got closed without any fault of mine..
12,"@AmazonHelp @115850 Ordered iPhone with 1 day delivery..Phn not rcvd ..got fake messages that due to unavailability,not delivered????"
13,@AmazonHelp hey when will Bosch S3 come to @119625 ? Isn't it a amazon original?
14,@115850 @AmazonHelp @115821  placed order under prime fr delivery 11am Apr 28 #404-8214654-9940334 delivery not come web shows on the way
15,No #Kannada eBooks or Kannada language support on @115821 Kindle. Disappointing! Cc: @115851 @115850 @AmazonHelp #ServeInMyLanguage
16,It says my package was supposed to arrive at 8pm and it's almost 10pm and I have no news. @AmazonHelp carrier is IMEXX
17,@AmazonHelp spam incoming!
18,Screw you @115830 @AmazonHelp - I tried to sell something and now you have LOCKED ME OUT OF MY ACCOUNT. HOW DO I GET BACK IN?
19,"Hi @AmazonHelp, Amazon Video won't play on Panasonic Smart TV - just flicks back to main channels. Please can you help? @129773"
20,@AmazonHelp I tried logging into my Amazon acct for the 1st time in months and cannot access. Even if I send myself a new PW it doesn't work
21,@115821 @AmazonHelp Yet another exceptional Customer experience with Amazon. Why can't other online suppliers be as good! Thank you!
22,"@AmazonHelp I hope my pkg was not in there. Ste-Catherine Montreal, unlocked doors, windows open #unattendedpackages #intelcom #badcourrier https://t.co/FH7LOLlTWb"
23,"@AmazonHelp need help 2 cancel Sling tv from my fire stick, moving and need to stop sling for few months pls help"
24,@AmazonHelp I understand security but this must be shamed publicly for misdoings &amp; U not owing up.The bots auto replies NOT helping either!! https://t.co/Kt5YEFbCP1
25,@AmazonHelp seller central account remains suspended. No one can answer why? Can you help?
26,"@115850 @AmazonHelp 5 chats, 1 call, 1 month later, issue still stands unresolved. But was promised an ETA of 1-2 days everytime."
27,@115850 @115821 @AmazonHelp :- Thanks Amazon 4 delivering product b4 tym. Amazing Support and Fastest Delivery caring customer's emotions.
28,@AmazonHelp why is this my second prime purchase in a row that I'm getting later than my two day guaranteed delivery?
29,"@AmazonHelp i did not got any package , still this mail from your side why ,in your track page its showing undelivered , poor service amazon https://t.co/BUuQjGmo30"
30,@47219 Agarwal @AmazonHelp @115850 @115821 I have ordered a MOBILE phone but it is faulty. you guys are not return and refunding.Very bad
31,"@AmazonHelp @115850 @115821 How long I have to struggle for the order no 404-6863093-7837905, i typed more then 50 mails; No response??"
32,"@AmazonHelp with reference to my earlier tweet I haven't received any conversation from ur side @115821
I have already drop my details"
33,@AmazonHelp why i can't get refund of my headphone which is worth 8999. they are is no return only replace. Now i can't do anything.
34,@115850 @AmazonHelp who are the winners of #amazonsaletrail contest held on app please post update you people sad that announcement on 20
35,"@115821,@115850,@AmazonHelp  over 7 weeks of followup, giving bank statement as proof,  my money is not refunded https://t.co/gsZWoD4NEc"
36,"AMAZON IS THE COMPANY OF MOTHERFUCKERS, BUYERS NEED TO PAY FOR THE MISTAKES OF THE SELLERS, @115821 @AmazonHelp @115850 #CustomerService https://t.co/zxKlRrmg28"
37,My Kindle Fire's been nothing but a hassle. Turns out @AmazonHelp shut down the yearly account I already paid for &amp; are charging me monthly.
38,"@AmazonHelp guys package is not delivered, however, ATS tracking shows it's delivered. Tracking number is 203107873557 @115850 @115821"
39,@AmazonHelp how does Amazon stop fraud by buyer and support seller...been calling daily for 22 days...and just more reports and more depts.
40,@AmazonHelp fed up with your worst service last 15 days just waiting for delivery. Not proper service from call centre. I don't have words.
41,Social media is surely more responsive than call centres.Thankyou @AmazonHelp Twitter handling team. https://t.co/uO7jKiqpKs
42,"@AmazonHelp got a shock when I changed to a different market place today, I talked to someone in the UK amazing, In germany so bad! why!?!?"
43,@AmazonHelp hi can you help the Amazon video app has disappeared off my TV and Samsung have advised me to contact you.
44,@115821 @AmazonHelp @115850 plz stop testing on #Indian customer. We're not your user tester. #Amazon #Fail #ecommerce #marketplace https://t.co/ufKf07I0Wx
45,@115821 @AmazonHelp @115850 @14862 @218245 @131027 @14863 @1560 Amazon selling damaged product with Coolpad https://t.co/oe9Q4p3bf3
46,@AmazonHelp Why the Amazon Associates Support doesnt respond to emails ?
47,"@AmazonHelp I've changed my password, and I'm having trouble logging in. Can someone help, please?"
48,"@115850 @AmazonHelp So many Quiz have PPL taken part in,But I never Saw The Winners List4AmazonPay. Is it Fake Contests #AmazonPayAppQuiz"
49,@AmazonHelp Why carriers never attempt delivery to my door in Irvine? Is it too far for them?
50,"What the fuck is wrong with @AmazonHelp @115850 
Order a t-shirt https://t.co/3SMdZtgpol and got some face and shit quality. See picture. https://t.co/Ey3qbhvhwd"
51,"@AmazonHelp 

I have order an item with you and after many attempts to to resolve Amazon have let me down the worst customer care ever"
52,@15863 @AmazonHelp see wat happened toy sandal withn a mnth tym.Who s going to pay us for this #NastyQualityProduct https://t.co/i8gJLNQfmT
53,@AmazonHelp given unfair dismissal from Amazon Flex for an error with their app &amp; they won't reinstate my contract &amp; have given no reasons
54,".@AmazonHelp Happy Tuesday, @115821! Question of the day! How many of the envelope mailers do you ship every year? (With bubble padding!)"
55,@AmazonHelp I want to buy mobile if I feel not satisfied this product so can i return ? So I will get money back
56,"@115851  @115850 @AmazonHelp Pathetic service,since 5sept my query not solved. Loss of time,money and even bigger trust."
57,"Hey @AmazonHelp, I did log into kindle &amp; did stream around 15 mins if video on Amazon Prime w/ all new OP 5. No Amzn Pay &amp; Promo credit rcvd"
58,@AmazonHelp I bought a mi smart watch from Amazon and service center mi telling me that it is a duplicate watch.
59,@AmazonHelp There's a reason I pay $100/year for Amazon Prime. Getting packages three days AFTER I leave for vacation is not one of them 🙄😤 https://t.co/rB3GiyvrY9
60,@AmazonHelp Perhaps a box would be better than an envelope for a heavy paperback book? https://t.co/dY7f7LRbKE
61,Hi @115850 the payment for a recent order did not go through earlier but now the money has been debited twice. Kindly help. @AmazonHelp
62,@115850 received a message saying am not reachable and package delayed. So much for @117795 membership. @AmazonHelp
63,"@AmazonHelp you failed a cx on ur grt indian fest. being a prime mem, my ord not delivered &amp; your cc is paying 50 bucks as compensation."
64,"How much time does @AmazonHelp need to share a product invoice? Firstly, your seller sells me a defective Jaybird.  (1/2) @115821 @115850"
65,"@115851 @AmazonHelp  OD# 4__credit_card__ phone has glossy display, causes problem to migraine patient like me. Also very slow scrolling"
66,@AmazonHelp Last 2 shipments you sent using #AMZL were lost in shipment. Do you have some driver ripping you off? I hear Walmart calling.
67,@AmazonHelp My account has still not be unlocked its almost been 4-5 days and when i contact Customer Care they say we are still unlocking.
68,"@AmazonHelp.KEEPS https://t.co/PBeyWcdrLy something tht says Prime shipping,by the time I'm thru checkout, prime has gone and a week 2 ship!"
69,@AmazonHelp Sellers are not at all responsible for ADDRESS LABEL pick ups related issue. Then why it is counted in RDR?
70,@AmazonHelp Even sent a follow up email to __email__ over a week ago since applying - still no response.
71,@AmazonHelp @115850 you owe my 2500 rs as you forcibly refunded me in Amazon Pay despite taking bank details.Cant succumb to ur autocracy.
72,@115850 @AmazonHelp why i am not able to return substandard product bought from amazon. It feels like i have wasted my money and faith
73,Hey @AmazonHelp where's my @71258 book? I have contacted the seller twice and although Amazon gets copied I have heard nothing. https://t.co/G2Q08tvpMY
74,@AmazonHelp O.No4__credit_card__ Dt.18/05/2017 for Rs.1699 sent on 20/
75,"@115850 @AmazonHelp hd placd 1 ordr, nw seller calng continously askng to cancel d ordr as he unabl 2 ship d sm,bt nt cnfrmng d refund amt"
76,"@AmazonHelp I tried to provide a purchased product review, but the review was not permitted because I used ""bags"". 
https://t.co/64Ke3PX83P"
77,@AmazonHelp How Can I Avail My Prize?? I Already Sent You Details On __email__ Have You Got It?? Confirm Me Please?? https://t.co/Y5gVHwMq1O
78,@115851 @115821 @115850 @AmazonHelp I am writing about the issues in the delivery of products but no solutions till time.
79,Fake promises @115850 @AmazonHelp @118919 .... Boycott pucrchasing products feom amazon... worst e-commerce srvcs. #NoToAmazon
80,"@AmazonHelp Bought mobile from amazon.in in May thru APP. Eligible for 15% cashback on CITI Bank Card. But Received only 10%. Mailed, Called CC so many times but no resolution till now. Plz help to get cashback. amazon blocked my number now, can't call them also."
81,@AmazonHelp I am unable to add Amazon gift voucher to my account
82,"@115850 @AmazonHelp 

Purchased Prime membership, still waiting for my cashback.

SS attached https://t.co/Y1PEEXiMk2"
83,"@AmazonHelp still not received Prime order from Sunday, advised returned to warehouse. Followed complaints online, but not happy"
84,"@115850 @115821 @AmazonHelp I have ordered this book from Amazon Kindle App. 
Please send me this book ASAP."
85,"@115821 @AmazonHelp @115850 kindly refund my money ASAP, if you care enough. ur #customerserviceagents anyways dnt care #neveragain https://t.co/y47WXglPNl"
86,@AmazonHelp I thought amazon prime fame with free two day shipping not make the cost higher?
87,@AmazonHelp Your new update really needs taken down. Just got it on my iPad &amp; all I get is Amazon header &amp; search bar.
88,@AmazonHelp Still locked out of my account.  3 weeks now.  Your support by telephone and email is awful
89,"@AmazonHelp ordered a product from the Amazon app on July 16th with an expected arrival date of August 16th, but the product has not arrived"
90,It's more than a week since picked up by Amazon delivery. It's showing the product is cancelled.  Its not returned to me yet. @AmazonHelp https://t.co/ejquQyile9
91,"Why is it that despite having Prime, @115821 insists on displaying these ads for itself on every single page I go to? @AmazonHelp https://t.co/5hNP3ityGP"
92,"@122924 hello, I have a pkg from @AmazonHelp dispatched by you at 7 pm this Thur. from Dunstable, UK. Delivery in Munich b. 6p this Fri.?"
93,@AmazonHelp the new Fresh ...They leave the totes on your doorstep for days &amp; reps have trouble speaking English
94,"OK, @AmazonHelp, #CHIvsGB won't play on TV because ""live content isn't supported on this device""? Works fine on iPad. Am Prime customer. https://t.co/NC3iPs4wGx"
95,@AmazonHelp The deliver boy not been able to location my location due to unavailability of Ph no. in the packet. 1/2
96,@AmazonHelp pathetic lousy service from @115850 theycant offer replacement for anorder whichthey lost themselveswhile in transit @118702 https://t.co/n3catAOBcN
97,Never ordering from @AmazonHelp ever again. And @133929 are a bunch of thieves! https://t.co/oDjCtGoIav
98,@AmazonHelp @123644 Please do an update for the Alexa app so were able 2 make and receive phone &amp; texts! @115833 @251781 #please
99,Hi @AmazonHelp Credit card was debited of $99 without subscribing to Amazon Prime. Got a mail stating refund in 3-5 days. Till now nothing
100,"My order @115850 is not delivered and is going to return without any information, attaching screenshot of order details
@AmazonHelp https://t.co/uNE4urPWdV"
101,@AmazonHelp where is my package I’ve waited since 7am and the order states it’s arriving for last 2 days?
102,Festive surprise! @115850 . Don't drink and deliver! Sent my package to Mumbai instead of Kolkata 😂 @AmazonHelp https://t.co/ooSshoUax8
103,"This is service of #Amazon
#OnlineShopping
#WorstService
@115821 @AmazonHelp @115850 
@115851 https://t.co/BW1GYCO9Wh"
104,Got a packet of rice instead of phone from @115850 @118702 @4030 @120320 @348 @122951 @AmazonHelp
105,@AmazonHelp mentioned tht I don't intend to use Amazon anymore.Hence need amnt in my bank account not in paybalance #amazonindia https://t.co/88oN9R1kdx
106,"@AmazonHelp purchased a stainless steel water bottle, the lip is rusting after 2 weeks..."
107,@115850 @AmazonHelp. Raised a complaint for my new phone.it has been 6 days no response.#badservice
108,"@AmazonHelp @115850  @115821 Placed my first order via App for Rs.934 got charged 13,999  instead. Had the worst experience (1/7) #amazon"
109,App launches and goes back to home screen @AmazonHelp https://t.co/fj8mRk5z09
110,".@AmazonHelp Since the change to Amz Logistics, have not successfully had a pkg delivered. What's the point of having Prime or even orders 😤"
111,"Bought @951 #G5s last week from @115850. Switched off while idling, touch unresponsive upon restarting. @AmazonHelp"
112,@AmazonHelp why is your customer service so terrible??
113,@AmazonHelp how many business days before a canceled order is refunded?
114,"@AmazonHelp Very Bad response. I have written response, I haven't got my refund still."
115,@AmazonHelp my package hasn't been delivered yet and it's shows unable to deliver the package  contact Amazon what to do further
116,"@AmazonHelp kindle publishing,  stop destroying peoples book formats"
117,Last time I order with @AmazonHelp
118,@AmazonHelp can I get someone in management to please contact me?  I have had Amazon Prime since the month u started it.  I need local help
